Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F,Reiss Nelson (14790049),Reiss Nelson,14790049,FLEX,7000,ARS vs MCI 02:45PM ET,ARS,17.05
F,Folarin Balogun (14790119),Folarin Balogun,14790119,CPT,6900,ARS vs MCI 02:45PM ET,ARS,0
D,Taylor Harwood-Bellis (14790120),Taylor Harwood-Bellis,14790120,CPT,6900,ARS vs MCI 02:45PM ET,MCI,0
D,Kieran Tierney (14790121),Kieran Tierney,14790121,CPT,6900,ARS vs MCI 02:45PM ET,ARS,6.82
M/F,Bukayo Saka (14790050),Bukayo Saka,14790050,FLEX,6800,ARS vs MCI 02:45PM ET,ARS,9.42
M,David Silva (14790051),David Silva,14790051,FLEX,6600,ARS vs MCI 02:45PM ET,MCI,7.36
M,Dani Ceballos (14790122),Dani Ceballos,14790122,CPT,6600,ARS vs MCI 02:45PM ET,ARS,9.93
M,Granit Xhaka (14790123),Granit Xhaka,14790123,CPT,6600,ARS vs MCI 02:45PM ET,ARS,4.27
M,Ilkay Gundogan (14790052),Ilkay Gundogan,14790052,FLEX,6400,ARS vs MCI 02:45PM ET,MCI,12.94
D,Cedric Soares (14790124),Cedric Soares,14790124,CPT,6300,ARS vs MCI 02:45PM ET,ARS,1.58
D,Aymeric Laporte (14790125),Aymeric Laporte,14790125,CPT,6300,ARS vs MCI 02:45PM ET,MCI,8.28
D,Benjamin Mendy (14790053),Benjamin Mendy,14790053,FLEX,6200,ARS vs MCI 02:45PM ET,MCI,15.49
D,Hector Bellerin (14790126),Hector Bellerin,14790126,CPT,6000,ARS vs MCI 02:45PM ET,ARS,2.26
GK,Emiliano Martinez (14790127),Emiliano Martinez,14790127,CPT,6000,ARS vs MCI 02:45PM ET,ARS,12.48
GK,Bernd Leno (14790128),Bernd Leno,14790128,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
GK,Matt Macey (14790129),Matt Macey,14790129,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
D,Ainsley Maitland-Niles (14790130),Ainsley Maitland-Niles,14790130,CPT,5700,ARS vs MCI 02:45PM ET,ARS,1.78
D,Calum Chambers (14790131),Calum Chambers,14790131,CPT,5700,ARS vs MCI 02:45PM ET,ARS,0
D,Joao Cancelo (14790054),Joao Cancelo,14790054,FLEX,5600,ARS vs MCI 02:45PM ET,MCI,10.13
M,Tommy Doyle (14790132),Tommy Doyle,14790132,CPT,5400,ARS vs MCI 02:45PM ET,MCI,0
D, Fernandinho (14790133), Fernandinho,14790133,CPT,5400,ARS vs MCI 02:45PM ET,MCI,0
D,David Luiz (14790134),David Luiz,14790134,CPT,5400,ARS vs MCI 02:45PM ET,ARS,6.75
D,Pablo Mari (14790135),Pablo Mari,14790135,CPT,5400,ARS vs MCI 02:45PM ET,ARS,6.52
M,Lucas Torreira (14790055),Lucas Torreira,14790055,FLEX,5200,ARS vs MCI 02:45PM ET,ARS,1.12
D,Oleksandr Zinchenko (14790056),Oleksandr Zinchenko,14790056,FLEX,5200,ARS vs MCI 02:45PM ET,MCI,0
M,Adrian Bernabe (14790136),Adrian Bernabe,14790136,CPT,5100,ARS vs MCI 02:45PM ET,MCI,0
D,John Stones (14790137),John Stones,14790137,CPT,5100,ARS vs MCI 02:45PM ET,MCI,5.49
D,Shkodran Mustafi (14790138),Shkodran Mustafi,14790138,CPT,5100,ARS vs MCI 02:45PM ET,ARS,2.82
D, Sokratis (14790139), Sokratis,14790139,CPT,5100,ARS vs MCI 02:45PM ET,ARS,7.21
D,Kyle Walker (14790057),Kyle Walker,14790057,FLEX,5000,ARS vs MCI 02:45PM ET,MCI,8.46
M, Rodrigo (14790058), Rodrigo,14790058,FLEX,5000,ARS vs MCI 02:45PM ET,MCI,4.24
M,Mesut Ozil (14790059),Mesut Ozil,14790059,FLEX,4800,ARS vs MCI 02:45PM ET,ARS,5.72
D,Nicolas Otamendi (14790060),Nicolas Otamendi,14790060,FLEX,4800,ARS vs MCI 02:45PM ET,MCI,6.41
M,Matteo Guendouzi (14790140),Matteo Guendouzi,14790140,CPT,4800,ARS vs MCI 02:45PM ET,ARS,4.59
D,Sead Kolasinac (14790141),Sead Kolasinac,14790141,CPT,4800,ARS vs MCI 02:45PM ET,ARS,1.71
D,Eric Garcia (14790142),Eric Garcia,14790142,CPT,4800,ARS vs MCI 02:45PM ET,MCI,7.24
D,Alpha Richard Dionkou (14790143),Alpha Richard Dionkou,14790143,CPT,4800,ARS vs MCI 02:45PM ET,MCI,0
F,Folarin Balogun (14790061),Folarin Balogun,14790061,FLEX,4600,ARS vs MCI 02:45PM ET,ARS,0
D,Taylor Harwood-Bellis (14790062),Taylor Harwood-Bellis,14790062,FLEX,4600,ARS vs MCI 02:45PM ET,MCI,0
D,Kieran Tierney (14790063),Kieran Tierney,14790063,FLEX,4600,ARS vs MCI 02:45PM ET,ARS,6.82
D,Rob Holding (14790144),Rob Holding,14790144,CPT,4500,ARS vs MCI 02:45PM ET,ARS,2.75
D,Tolaji Bola (14790145),Tolaji Bola,14790145,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Robbie Burton (14790146),Robbie Burton,14790146,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Joseph Willock (14790147),Joseph Willock,14790147,CPT,4500,ARS vs MCI 02:45PM ET,ARS,4.2
D,Zech Medley (14790148),Zech Medley,14790148,CPT,4500,ARS vs MCI 02:45PM ET,ARS,0
M,Dani Ceballos (14790064),Dani Ceballos,14790064,FLEX,4400,ARS vs MCI 02:45PM ET,ARS,9.93
